,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Kustavin Autokorjaamo Oy,01.01.2020,
1,Y-tunnus,2702533-9,,
2,Kotipaikka,Kustavi,01.01.2020,
3,Yritysmuoto,Osakeyhtiö,01.01.2020,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,04.08.2015,,
6,Viimeisin rekisteröintiajankohta,21.04.2022,21.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,04.08.2015,,
8,Yrityksen tila,Rekisterissä,04.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,12.06.2020,
11,Yhteystiedot,,17.05.2017,
12,Postiosoite,Kustavintie 5129  23360  Kustavi  Suomi,,
13,Käyntiosoite,Kustavintie 5129  23360  Kustavi  Suomi,,
