,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lännen Ympäristöhuolto Oy,23.08.2016,
1,Y-tunnus,2695289-4,,
2,Kotipaikka,Rauma,25.06.2015,
3,Yritysmuoto,Osakeyhtiö,25.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.06.2015,,
6,Viimeisin rekisteröintiajankohta,12.10.2022,12.10.2022,
7,Yrityksen tiedot järjestelmässä alkaen,25.06.2015,,
8,Yrityksen tila,Rekisterissä,25.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,14.03.2018,
12,Postiosoite,Lounaisväylä 34  26820  Rauma  Suomi,,
13,Käyntiosoite,Lounaisväylä 34  26820  Rauma  Suomi,,
14,Puhelin,0400 590303,,
15,Sähköposti,info(a)lannenymparistohuolto.fi,,
16,Www,http://www.lannenymparistohuolto.fi,,
