,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Oy Accnor Ab,28.04.2015,
1,Y-tunnus,2685812-8,,
2,Kotipaikka,Inkoo,28.04.2015,
3,Yritysmuoto,Osakeyhtiö,28.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.04.2015,,
6,Viimeisin rekisteröintiajankohta,21.05.2022,21.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,28.04.2015,,
8,Yrityksen tila,Rekisterissä,28.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,21.08.2019,
11,Yhteystiedot,,23.10.2015,
12,Postiosoite,c/o Jorvas Hitech Center  Hirsalantie 11  02420  Jorvas  Suomi,,
13,Käyntiosoite,c/o Jorvas Hitech Center  Hirsalantie 11  02420  Jorvas  Suomi,,
14,Puhelin,"+358 40 5442324, + 358 40 5442324",,
15,Sähköposti,lisbet.nordblad(a)accnor.fi,,
16,Www,http://www.accnor.fi,,
