,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Urhes liikuntasuunnittelu Oy,05.08.2015,
1,Y-tunnus,2702090-9,,
2,Kotipaikka,Espoo,05.08.2015,
3,Yritysmuoto,Osakeyhtiö,05.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.08.2015,,
6,Viimeisin rekisteröintiajankohta,26.04.2022,26.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.08.2015,,
8,Yrityksen tila,Rekisterissä,05.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,24.09.2019,
11,Yhteystiedot,,10.05.2021,
12,Postiosoite,Sinikalliontie 4  02630  Espoo  Suomi,,
