,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Drainman Oy,20.07.2017,
1,Y-tunnus,2691934-9,,
2,Kotipaikka,Helsinki,02.06.2015,
3,Yritysmuoto,Osakeyhtiö,02.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.06.2015,,
6,Viimeisin rekisteröintiajankohta,08.03.2023,08.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,02.06.2015,,
8,Yrityksen tila,Rekisterissä,02.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,23.02.2023,
11,Yhteystiedot,,09.09.2022,
12,Postiosoite,Kytkintie 26  00770  Helsinki  Suomi,,
13,Käyntiosoite,Kytkintie 26  00770  Helsinki  Suomi,,
14,Puhelin,0207301020,,
15,Www,http://www.drainman.fi,,
