,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,HIO Isännöinti Oy,10.06.2015,
1,Y-tunnus,2692206-2,,
2,Kotipaikka,Hyvinkää,10.06.2015,
3,Yritysmuoto,Osakeyhtiö,10.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,10.06.2015,,
6,Viimeisin rekisteröintiajankohta,10.11.2022,10.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,10.06.2015,,
8,Yrityksen tila,Rekisterissä,10.06.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.11.2022,
11,Yhteystiedot,,17.01.2022,
12,Postiosoite,Uudenmaankatu 32-34 D 1  05800  Hyvinkää  Suomi,,
13,Käyntiosoite,Uudenmaankatu 32-34 D 1  05800  Hyvinkää  Suomi,,
14,Puhelin,0456183733,,
15,Sähköposti,ville.pitkaranta(a)taloasema.fi,,
16,Www,http://www.taloasema.fi/hyvinkaa,,
