,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Seikkailusyke Oy,28.09.2015,
1,Y-tunnus,2712924-2,,
2,Kotipaikka,Lempäälä,28.09.2015,
3,Yritysmuoto,Osakeyhtiö,28.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,28.09.2015,,
6,Viimeisin rekisteröintiajankohta,17.02.2023,17.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,28.09.2015,,
8,Yrityksen tila,Rekisterissä,28.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.04.2020,
11,Yhteystiedot,,23.09.2015,
12,Postiosoite,Suoratie 5  37560  Lempäälä  Suomi,,
13,Käyntiosoite,Suoratie 5  37560  Lempäälä  Suomi,,
14,Puhelin,+358451483444,,
15,Sähköposti,seikkailusyke(a)gmail.com,,
