,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,OccMed Oy,07.05.2015,
1,Y-tunnus,2688856-2,,
2,Kotipaikka,Helsinki,07.05.2015,
3,Yritysmuoto,Osakeyhtiö,07.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.05.2015,,
6,Viimeisin rekisteröintiajankohta,24.02.2023,24.02.2023,
7,Yrityksen tiedot järjestelmässä alkaen,07.05.2015,,
8,Yrityksen tila,Rekisterissä,07.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2020,
11,Yhteystiedot,,06.07.2017,
12,Postiosoite,Haapalahdenkatu 9 A 5  00300  Helsinki  Suomi,,
13,Käyntiosoite,Haapalahdenkatu 9 A 5  00300  Helsinki  Suomi,,
