,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Nordic MRO Oy,11.11.2016,
1,Y-tunnus,2680423-4,,
2,Kotipaikka,Vantaa,20.03.2015,
3,Yritysmuoto,Osakeyhtiö,20.03.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,20.03.2015,,
6,Viimeisin rekisteröintiajankohta,12.08.2022,12.08.2022,
7,Yrityksen tiedot järjestelmässä alkaen,20.03.2015,,
8,Yrityksen tila,Rekisterissä,20.03.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,12.08.2022,
11,Yhteystiedot,,04.03.2022,
12,Postiosoite,Peltokylänraitti 6 F 3  00740  Helsinki  Suomi,,
13,Käyntiosoite,Peltokylänraitti 6 F 3  00740  Helsinki  Suomi,,
14,Puhelin,+46722994229,,
15,Sähköposti,juha.heikkinen(a)nordicmro.fi,,
16,Www,http://www.nordicmro.fi,,
