,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Nordfin Capital Oy,10.08.2017,
1,Y-tunnus,2701303-9,,
2,Kotipaikka,Helsinki,24.08.2015,
3,Yritysmuoto,Osakeyhtiö,24.08.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,24.08.2015,,
6,Viimeisin rekisteröintiajankohta,08.04.2021,08.04.2021,
7,Yrityksen tiedot järjestelmässä alkaen,24.08.2015,,
8,Yrityksen tila,Rekisterissä,24.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.06.2020,
11,Yhteystiedot,,11.06.2020,
12,Postiosoite,c/o Business Hotel  Brahenkatu 2  20100  Turku  Suomi,,
13,Käyntiosoite,c/o Busines Hotel  Brahenkatu 2  20100  Turku  Suomi,,
14,Puhelin,09 6159 3211,,
15,Sähköposti,support.finland(a)nordfincapital.com,,
16,Www,http://www.nordfincapital.fi,,
