,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Pivong pizzeria-ravintola oy,26.06.2015,
1,Y-tunnus,2695162-1,,
2,Kotipaikka,Jyväskylä,26.06.2015,
3,Yritysmuoto,Osakeyhtiö,26.06.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.06.2015,,
6,Lakkaamisajankohta,30.03.2023,30.03.2023,
7,Viimeisin rekisteröintiajankohta,30.03.2023,30.03.2023,
8,Yrityksen tiedot järjestelmässä alkaen,26.06.2015,,
9,Yrityksen tila,Lakannut,30.03.2023,
10,Yrityksellä on yrityskiinnityksiä,Ei,,
