,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Aputaksi Oy,19.05.2015,
1,Y-tunnus,2688154-7,,
2,Kotipaikka,Kempele,19.05.2015,
3,Yritysmuoto,Osakeyhtiö,19.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.05.2015,,
6,Viimeisin rekisteröintiajankohta,02.03.2023,02.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,19.05.2015,,
8,Yrityksen tila,Rekisterissä,19.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,08.07.2019,
11,Yhteystiedot,,04.10.2017,
12,Postiosoite,PL 23  90401  Oulu  Suomi,,
13,Puhelin,"0405205100, 0405205100",,
