,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,SuperPark Tampere Oy,07.07.2020,
1,Y-tunnus,2733062-4,,
2,Kotipaikka,Tampere,18.01.2016,
3,Yritysmuoto,Osakeyhtiö,18.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.01.2016,,
6,Viimeisin rekisteröintiajankohta,13.05.2023,13.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,18.01.2016,,
8,Yrityksen tila,Rekisterissä,18.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,03.01.2023,
11,Yhteystiedot,,09.12.2020,
12,Postiosoite,c/o SuperPark Särkänniemi Oy  Linturinteenkatu 1  88610  Vuokatti  Suomi,,
13,Käyntiosoite,Laiturikatu 5  33230  Tampere  Suomi,,
14,Www,http://www.superpark.fi,,
