,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Julevi OY,05.10.2015,
1,Y-tunnus,2714310-8,,
2,Kotipaikka,Lappeenranta,05.10.2015,
3,Yritysmuoto,Osakeyhtiö,05.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.10.2015,,
6,Viimeisin rekisteröintiajankohta,05.03.2022,05.03.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.10.2015,,
8,Yrityksen tila,Rekisterissä,05.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,06.05.2021,
12,Postiosoite,c/o Leather Studio Julevi  Kauppakatu 61  53100  Lappeenranta  Suomi,,
13,Käyntiosoite,Kauppakatu 61  53100  Lappeenranta  Suomi,,
14,Puhelin,044 9738173,,
