,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Turkuas Oy,07.12.2015,
1,Y-tunnus,2728454-1,,
2,Kotipaikka,Kaarina,07.12.2015,
3,Yritysmuoto,Osakeyhtiö,07.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,07.12.2015,,
6,Viimeisin rekisteröintiajankohta,14.04.2023,14.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,07.12.2015,,
8,Yrityksen tila,Rekisterissä,07.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.12.2021,
11,Yhteystiedot,,01.12.2015,
12,Postiosoite,Kuskinkatu 5  20780  Kaarina  Suomi,,
13,Käyntiosoite,Kuskinkatu 5  20780  Kaarina  Suomi,,
14,Puhelin,"0400-978558, 0400-978558",,
