,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Vendep Capital Oy,18.01.2016,
1,Y-tunnus,2725296-1,,
2,Kotipaikka,Espoo,29.07.2021,
3,Yritysmuoto,Osakeyhtiö,18.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.01.2016,,
6,Viimeisin rekisteröintiajankohta,28.03.2023,28.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,18.01.2016,,
8,Yrityksen tila,Rekisterissä,18.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.03.2022,
11,Yhteystiedot,,28.11.2017,
12,Postiosoite,Keilaranta 8  02150  Espoo  Suomi,,
13,Käyntiosoite,Keilaranta 8  02150  Espoo  Suomi,,
14,Sähköposti,sakari(a)vendep.com,,
