,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Fix Tekniikka Oy,03.08.2015,
1,Y-tunnus,2701234-3,,
2,Kotipaikka,Helsinki,03.08.2015,
3,Yritysmuoto,Osakeyhtiö,03.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,03.08.2015,,
6,Viimeisin rekisteröintiajankohta,03.04.2023,03.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,03.08.2015,,
8,Yrityksen tila,Rekisterissä,03.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.06.2020,
11,Yhteystiedot,,26.03.2023,
12,Postiosoite,rantahaantie 58  12450  Vähikkälä  Suomi,,
13,Käyntiosoite,rantahaantie 58  12450  Vähikkälä  Suomi,,
14,Sähköposti,fenixlaki(a)hotmail.com,,
