,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Tuiskun Pysäköinti Oy,05.08.2015,
1,Y-tunnus,2697477-8,,
2,Kotipaikka,Tampere,05.08.2015,
3,Yritysmuoto,Osakeyhtiö,05.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,05.08.2015,,
6,Viimeisin rekisteröintiajankohta,22.06.2022,22.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,05.08.2015,,
8,Yrityksen tila,Rekisterissä,05.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,22.06.2022,
11,Yhteystiedot,,02.02.2022,
12,Postiosoite,c/o Pirkanmaan Ammatti-Isännöinti  Sarvijaakonkatu 5b A  33540  Tampere  Suomi,,
13,Käyntiosoite,c/o Pirkanmaan Ammatti-Isännöinti  Sarvijaakonkatu 5b A  33540  Tampere  Suomi,,
14,Puhelin,03 447 5000,,
15,Sähköposti,asiakaspalvelu(a)pamisoy.fi,,
16,Www,https://pamisoy.fi/,,
