,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,EduSavo Oy,14.09.2015,
1,Y-tunnus,2708836-4,,
2,Kotipaikka,Iisalmi,14.09.2015,
3,Yritysmuoto,Osakeyhtiö,14.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.09.2015,,
6,Viimeisin rekisteröintiajankohta,01.04.2023,01.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,14.09.2015,,
8,Yrityksen tila,Rekisterissä,14.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2020,
11,Yhteystiedot,,23.03.2022,
12,Postiosoite,PL 30  74101  Iisalmi  Suomi,,
13,Käyntiosoite,Asevelikatu 4  74100  Iisalmi  Suomi,,
14,Puhelin,"0405507151, 0405507151",,
15,Sähköposti,mira.repo(a)edusavo.fi,,
16,Www,http://www.edusavo.fi,,
