,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Beneres Oy,01.04.2015,
1,Y-tunnus,2680175-4,,
2,Kotipaikka,Jyväskylä,01.04.2015,
3,Yritysmuoto,Osakeyhtiö,01.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.04.2015,,
6,Viimeisin rekisteröintiajankohta,12.01.2023,12.01.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.04.2015,,
8,Yrityksen tila,Rekisterissä,01.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2019,
11,Yhteystiedot,,19.10.2015,
12,Postiosoite,Anttoninkatu 22 A 1  40250  Jyväskylä  Suomi,,
13,Puhelin,050 081 8041,,
14,Sähköposti,info(a)beneres.fi,,
15,Www,http://www.beneres.fi,,
