,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Uudenmaan Laatuvälitys Oy,18.01.2016,
1,Y-tunnus,2731781-7,,
2,Kotipaikka,Porvoo,18.01.2016,
3,Yritysmuoto,Osakeyhtiö,18.01.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.01.2016,,
6,Viimeisin rekisteröintiajankohta,31.05.2022,31.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,18.01.2016,,
8,Yrityksen tila,Rekisterissä,18.01.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.12.2019,
11,Yhteystiedot,,01.03.2023,
12,Postiosoite,Leskirouva Freytagin kuja 15 A 4  00790  Helsinki  Suomi,,
13,Käyntiosoite,Vouti Björnramin kuja 1  00790  Helsinki  Suomi,,
14,Puhelin,040 7010003,,
15,Sähköposti,nina.lang(a)kotilkv.fi,,
16,Www,http://kotihuomiselle.fi,,
