,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Ab DU-tec FIX Oy,28.05.2015,
1,Y-tunnus,2690548-1,,
2,Kotipaikka,Parainen,28.05.2015,
3,Yritysmuoto,Osakeyhtiö,28.05.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,28.05.2015,,
6,Viimeisin rekisteröintiajankohta,21.04.2022,21.04.2022,
7,Yrityksen tiedot järjestelmässä alkaen,28.05.2015,,
8,Yrityksen tila,Rekisterissä,28.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,27.04.2020,
11,Yhteystiedot,,12.05.2015,
12,Postiosoite,Lövnäs mellanväg 6  21600  Pargas  Suomi,,
13,Käyntiosoite,Lövnäs mellanväg 6  21600  Pargas  Suomi,,
14,Puhelin,"0207959940, 0400784362",,
15,Sähköposti,bjarne.ulriksson(a)du-tec.fi,,
16,Www,http://www.du-tec.fi,,
