,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Arctic Legend Ab,03.07.2015,
1,Y-tunnus,2698865-1,,
2,Kotipaikka,Pietarsaari,03.07.2015,
3,Yritysmuoto,Osakeyhtiö,03.07.2015,
4,Yrityksen kieli,ruotsi,,
5,Rekisteröintiajankohta,03.07.2015,,
6,Viimeisin rekisteröintiajankohta,06.04.2023,06.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,03.07.2015,,
8,Yrityksen tila,Rekisterissä,03.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.07.2020,
11,Yhteystiedot,,01.07.2015,
12,Postiosoite,Rosengrensvägen 14  68600  Jakobstad  Suomi,,
13,Käyntiosoite,Rosengrensvägen 14  68600  Jakobstad  Suomi,,
