,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,TopSolver Oy,18.01.2022,
1,Y-tunnus,2729848-4,,
2,Kotipaikka,Tampere,18.01.2022,
3,Yritysmuoto,Osakeyhtiö,14.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.12.2015,,
6,Viimeisin rekisteröintiajankohta,26.04.2023,26.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,14.12.2015,,
8,Yrityksen tila,Rekisterissä,14.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,05.08.2021,
11,Yhteystiedot,,06.10.2020,
12,Postiosoite,Huunalankatu 11 B  33560  Tampere  Suomi,,
13,Käyntiosoite,Huunalankatu 11 B  33560  Tampere  Suomi,,
