,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Hemle Oy Ab,23.04.2015,
1,Y-tunnus,2687596-4,,
2,Kotipaikka,Helsinki,23.04.2015,
3,Yritysmuoto,Osakeyhtiö,23.04.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,23.04.2015,,
6,Viimeisin rekisteröintiajankohta,23.03.2023,23.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,23.04.2015,,
8,Yrityksen tila,Rekisterissä,23.04.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,20.05.2020,
11,Yhteystiedot,,30.06.2022,
12,Postiosoite,Alisgårdintie 7  02520  Lapinkylä  Suomi,,
13,Käyntiosoite,Alisgårdintie 7  02520  Lapinkylä  Suomi,,
14,Puhelin,"0407204242, 0407204242",,
15,Sähköposti,hemle(a)mail.com,,
16,Www,http://www.hemle.fi,,
