,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,LastenKupla Oy,01.02.2016,
1,Y-tunnus,2736680-3,,
2,Kotipaikka,Tampere,01.02.2016,
3,Yritysmuoto,Osakeyhtiö,01.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,01.02.2016,,
6,Viimeisin rekisteröintiajankohta,04.03.2023,04.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,01.02.2016,,
8,Yrityksen tila,Rekisterissä,01.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,14.04.2020,
11,Yhteystiedot,,15.08.2020,
12,Käyntiosoite,Lempääläntie 21  33820  Tampere  Suomi,,
13,Puhelin,045 2374723,,
14,Sähköposti,info(a)lastenkupla.fi,,
15,Www,http://www.lastenkupla.fi,,
