,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Talotekniikka Järvinen Oy,25.08.2015,
1,Y-tunnus,2704639-1,,
2,Kotipaikka,Pori,25.08.2015,
3,Yritysmuoto,Osakeyhtiö,25.08.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,25.08.2015,,
6,Viimeisin rekisteröintiajankohta,04.03.2023,04.03.2023,
7,Yrityksen tiedot järjestelmässä alkaen,25.08.2015,,
8,Yrityksen tila,Rekisterissä,25.08.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2019,
11,Yhteystiedot,,07.05.2018,
12,Postiosoite,Karjarannantie 26  28100  Pori  Suomi,,
13,Puhelin,050 3493409,,
14,Sähköposti,ilari.jarvinen(a)talotekniikkajarvinen.fi,,
