,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Asianajotoimisto Torato Juridik Oy,02.07.2018,
1,Y-tunnus,2733157-1,,
2,Kotipaikka,Pietarsaari,30.12.2015,
3,Yritysmuoto,Osakeyhtiö,30.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.12.2015,,
6,Viimeisin rekisteröintiajankohta,30.05.2023,30.05.2023,
7,Yrityksen tiedot järjestelmässä alkaen,30.12.2015,,
8,Yrityksen tila,Rekisterissä,30.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,01.07.2020,
11,Yhteystiedot,,08.08.2017,
12,Postiosoite,Perämiehenkatu 8  68600  Pietarsaari  Suomi,,
13,Käyntiosoite,Perämiehenkatu 8  68600  Pietarsaari  Suomi,,
