,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,PH-Yhtiöt Oy,15.12.2015,
1,Y-tunnus,2729586-5,,
2,Kotipaikka,Hyvinkää,15.12.2015,
3,Yritysmuoto,Osakeyhtiö,15.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,15.12.2015,,
6,Viimeisin rekisteröintiajankohta,01.12.2022,01.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,15.12.2015,,
8,Yrityksen tila,Rekisterissä,15.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,22.10.2019,
11,Yhteystiedot,,06.05.2020,
12,Postiosoite,Vehnäkatu 6  05880  Hyvinkää  Suomi,,
13,Käyntiosoite,Vehnäkatu 6  05880  Hyvinkää  Suomi,,
14,Puhelin,0400-294 154,,
15,Sähköposti,toimisto(a)ph-yhtiot.fi,,
16,Www,http://www.ph-yhtiot.fi,,
