,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,JiiPee Point Oy,30.09.2015,
1,Y-tunnus,2704660-7,,
2,Kotipaikka,Kyyjärvi,30.09.2015,
3,Yritysmuoto,Osakeyhtiö,30.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,30.09.2015,,
6,Viimeisin rekisteröintiajankohta,30.12.2022,30.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,30.09.2015,,
8,Yrityksen tila,Rekisterissä,30.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,14.08.2015,
12,Postiosoite,Lasimestarintie 4  43700  Kyyjärvi  Suomi,,
13,Käyntiosoite,Lasimestarintie 4  43700  Kyyjärvi  Suomi,,
14,Puhelin,0405220799,,
