,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Maku Finland Oy,21.01.2016,
1,Y-tunnus,2689210-7,,
2,Kotipaikka,Helsinki,26.05.2015,
3,Yritysmuoto,Osakeyhtiö,26.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,26.05.2015,,
6,Viimeisin rekisteröintiajankohta,08.12.2022,08.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,26.05.2015,,
8,Yrityksen tila,Rekisterissä,26.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,09.06.2015,
12,Postiosoite,Fredrikinkatu 46 A 8  00100  Helsinki  Suomi,,
13,Käyntiosoite,Fredrikinkatu 46 A 8  00100  Helsinki  Suomi,,
14,Puhelin,0440570015,,
15,Sähköposti,cygsir0827(a)hotmail.com,,
