,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,RAVINTOLA BENJAMIN OY,09.10.2015,
1,Y-tunnus,2713706-6,,
2,Kotipaikka,Rovaniemi,09.10.2015,
3,Yritysmuoto,Osakeyhtiö,09.10.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.10.2015,,
6,Viimeisin rekisteröintiajankohta,04.06.2022,04.06.2022,
7,Yrityksen tiedot järjestelmässä alkaen,09.10.2015,,
8,Yrityksen tila,Rekisterissä,09.10.2015,
9,Yrityksellä on yrityskiinnityksiä,Kyllä,,
10,Yrityksellä on edunsaajatietoja,Kyllä,02.07.2020,
11,Yhteystiedot,,25.09.2015,
12,Postiosoite,Aitakatu 12  96460  Rovaniemi  Suomi,,
13,Käyntiosoite,Kansankatu 15  96100  Rovaniemi  Suomi,,
14,Puhelin,"0400947693, 0400947693",,
15,Sähköposti,info(a)halfmoon.fi,,
