,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,The F Company Oy,01.03.2018,
1,Y-tunnus,2687624-6,,
2,Kotipaikka,Helsinki,19.05.2015,
3,Yritysmuoto,Osakeyhtiö,19.05.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,19.05.2015,,
6,Viimeisin rekisteröintiajankohta,21.05.2022,21.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,19.05.2015,,
8,Yrityksen tila,Rekisterissä,19.05.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,14.05.2020,
11,Yhteystiedot,,01.08.2020,
12,Postiosoite,Kanavaranta 3-7 E 24  00160  Helsinki  Suomi,,
13,Puhelin,045 221 0390,,
14,Sähköposti,contact(a)thefcompany.com,,
15,Www,http://www.thefcompany.com,,
