,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,MOPRIM Oy,31.12.2015,
1,Y-tunnus,2732443-5,,
2,Kotipaikka,Helsinki,31.12.2015,
3,Yritysmuoto,Osakeyhtiö,31.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,31.12.2015,,
6,Viimeisin rekisteröintiajankohta,16.12.2022,16.12.2022,
7,Yrityksen tiedot järjestelmässä alkaen,31.12.2015,,
8,Yrityksen tila,Rekisterissä,31.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,04.06.2020,
11,Yhteystiedot,,30.04.2021,
12,Postiosoite,Heikkiläntie 7 A  00210  Helsinki  Suomi,,
13,Käyntiosoite,Heikkiläntie 7 A  00210  Helsinki  Suomi,,
14,Sähköposti,info(a)moprim.com,,
15,Www,http://www.moprim.com,,
