,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Satadiens JP Oy,09.12.2015,
1,Y-tunnus,2729302-6,,
2,Kotipaikka,Pomarkku,09.12.2015,
3,Yritysmuoto,Osakeyhtiö,09.12.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,09.12.2015,,
6,Viimeisin rekisteröintiajankohta,12.11.2022,12.11.2022,
7,Yrityksen tiedot järjestelmässä alkaen,09.12.2015,,
8,Yrityksen tila,Rekisterissä,09.12.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,16.06.2020,
11,Yhteystiedot,,04.12.2015,
12,Postiosoite,Kettumäentie 2  29630  Pomarkku  Suomi,,
