,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Flight Level Solutions Oy,08.09.2015,
1,Y-tunnus,2706823-2,,
2,Kotipaikka,Ylöjärvi,08.09.2015,
3,Yritysmuoto,Osakeyhtiö,08.09.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,08.09.2015,,
6,Viimeisin rekisteröintiajankohta,20.05.2022,20.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,08.09.2015,,
8,Yrityksen tila,Rekisterissä,08.09.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,10.07.2020,
11,Yhteystiedot,,02.07.2019,
12,Postiosoite,Huppionmäenkatu 8 B 32  33720  Tampere  Suomi,,
13,Käyntiosoite,Huppionmäenkatu 8 B 32  33720  Tampere  Suomi,,
14,Sähköposti,flightlevelsolutions(a)gmail.com,,
