,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Puutarhahaltijat Oy,29.01.2015,
1,Y-tunnus,2669638-4,,
2,Kotipaikka,Riihimäki,29.01.2015,
3,Yritysmuoto,Osakeyhtiö,29.01.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,29.01.2015,,
6,Viimeisin rekisteröintiajankohta,05.05.2022,05.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,29.01.2015,,
8,Yrityksen tila,Rekisterissä,29.01.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Ei,,
11,Yhteystiedot,,08.08.2022,
12,Postiosoite,Hiihtomajantie 32  11120  Riihimäki  Suomi,,
13,Käyntiosoite,Monninlinja 335  05800  Hyvinkää  Suomi,,
14,Puhelin,"0103274700, 0408358862",,
15,Sähköposti,info(a)puutarhahaltijat.fi,,
16,Www,http://www.puutarhahaltijat.fi,,
