,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Lannistumaton Luke Oy,02.02.2016,
1,Y-tunnus,2737645-4,,
2,Kotipaikka,Helsinki,02.02.2016,
3,Yritysmuoto,Osakeyhtiö,02.02.2016,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,02.02.2016,,
6,Viimeisin rekisteröintiajankohta,14.04.2023,14.04.2023,
7,Yrityksen tiedot järjestelmässä alkaen,02.02.2016,,
8,Yrityksen tila,Rekisterissä,02.02.2016,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,29.01.2020,
11,Yhteystiedot,,09.07.2017,
12,Postiosoite,Pirttipolku 1 D  00630  Helsinki  Suomi,,
13,Käyntiosoite,Pirttipolku 1 D  00630  Helsinki  Suomi,,
14,Puhelin,"0405529555, 0505525102",,
15,Sähköposti,timo(a)lannistumatonluke.fi,,
16,Www,http://www.lannistumatonluke.fi,,
