,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,Rakennusliike AsLa Oy,14.07.2015,
1,Y-tunnus,2696575-9,,
2,Kotipaikka,Savonlinna,14.07.2015,
3,Yritysmuoto,Osakeyhtiö,14.07.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,14.07.2015,,
6,Viimeisin rekisteröintiajankohta,07.05.2022,07.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,14.07.2015,,
8,Yrityksen tila,Rekisterissä,14.07.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,18.06.2020,
11,Yhteystiedot,,30.06.2016,
12,Postiosoite,Kirkkokatu 9 A 7  57100  Savonlinna  Suomi,,
13,Käyntiosoite,c/o Rakennusliike AsLa Oy  Kirkkokatu 9 A 7  57100  Savonlinna  Suomi,,
