,Yrityksen perustiedot,Yrityksen perustiedot.1,Alkaen,Historia
0,Nimi,FIXATEN Oy,18.11.2015,
1,Y-tunnus,2724746-8,,
2,Kotipaikka,Tampere,18.11.2015,
3,Yritysmuoto,Osakeyhtiö,18.11.2015,
4,Yrityksen kieli,suomi,,
5,Rekisteröintiajankohta,18.11.2015,,
6,Viimeisin rekisteröintiajankohta,24.05.2022,24.05.2022,
7,Yrityksen tiedot järjestelmässä alkaen,18.11.2015,,
8,Yrityksen tila,Rekisterissä,18.11.2015,
9,Yrityksellä on yrityskiinnityksiä,Ei,,
10,Yrityksellä on edunsaajatietoja,Kyllä,25.02.2021,
11,Yhteystiedot,,25.02.2021,
12,Postiosoite,Vihiojantie 14  33800  Tampere  Suomi,,
13,Käyntiosoite,Vihiojantie 14  33800  Tampere  Suomi,,
14,Puhelin,050 555 0635,,
